"Customer_ID,Product_Quality,Service_Quality,Price_Satisfaction,Variety_of_Products,Store_Ambiance,Staff_Friendliness,Ease_of_Purchase,Overall_Experience,Likelihood_to_Return"
"1,4,5,3,4,5,5,4,5,4"
"2,5,4,3,4,4,5,4,5,5"
"3,3,3,4,3,3,4,3,3,3"
"4,4,4,4,4,5,5,4,5,4"
"5,5,5,3,5,4,5,5,5,5"
"6,4,4,3,4,3,4,4,4,4"
"7,3,3,2,3,2,3,3,3,2"
"8,5,5,4,5,5,5,5,5,5"
"9,4,4,3,4,4,4,4,4,4"
"10,2,2,2,2,3,3,2,2,2"
"11,4,5,3,4,5,5,4,5,4"
"12,5,4,3,4,4,5,4,5,5"
"13,3,3,4,3,3,4,3,3,3"
"14,4,4,4,4,5,5,4,5,4"
"15,5,5,3,5,4,5,5,5,5"
"16,4,4,3,4,3,4,4,4,4"
"17,3,3,2,3,2,3,3,3,2"
"18,5,5,4,5,5,5,5,5,5"
"19,4,4,3,4,4,4,4,4,4"
"20,2,2,2,2,3,3,2,2,2"
